QGC WPL 110
0	1	0	16	1.0	1	0	0	36.1209346599467693	139.215458929538727	0	1
1	0	3	16	1.2	1	0	0	36.1212347362683062	139.215470999479294	20	1
2	0	3	16	1.3	1	0	0	36.12122065328969	139.215743243694305	20	1
3	0	3	16	1.5	1	0	0	36.1209227435348765	139.215731173753738	20	1
4	0	3	16	1.0	1	0	0	36.1212228199019521	139.215744584798813	20	1
5	0	3	16	1.2	1	0	0	36.1212022370830894	139.216027557849884	20	1
6	0	3	16	0.8	1	0	0	36.120919493604049	139.216010123491287	20	1
7	0	3	16	1.4	1	0	0	36.1212033203894762	139.216030240058899	20	1
8	0	3	16	1.2	1	0	0	36.1211838208721616	139.216290414333344	20	1
9	0	3	16	0.9	1	0	0	36.120907577189854	139.216285049915314	20	1
